Index,Date,Time,Counter,Force(kN),LVDT1,LVDT2,Chain,OutputPower,Stress [MPa],Axial Strain (%),Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Strain Vol [-],Gemidd,,Derivatives
2616,44655.40486,654.022853,58351891,0.32957,-0.92756,-0.920342,22.2191,0.154469,0.476489,0.195796,0.00195796,-0.000186,0.195634,0.00195634,-0.924178,,4248.842344
2617,44655.40486,654.272853,58351891,0.324824,-0.927516,-0.920703,22.218878,0.154562,0.475553,0.195866,0.00195866,-0.000186,0.195586,0.00195586,-0.924036,,4267.247941
2618,44655.40486,654.522853,58351892,0.348155,-0.927286,-0.920111,22.2191,0.155246,0.491402,0.196338,0.00196338,-0.00028,0.196076,0.00196076,-0.923789,,4381.643347
2619,44655.40487,654.772853,58351892,0.352633,-0.927131,-0.920013,22.218878,0.155563,0.495573,0.196455,0.00196455,-0.000186,0.196268,0.00196268,-0.923546,,4316.219631
2620,44655.40487,655.022853,58351892,0.344902,-0.927189,-0.920342,22.2191,0.155374,0.495401,0.196421,0.00196421,-0.000186,0.196212,0.00196212,-0.923745,,4236.34025
2621,44655.40487,655.272853,58351892,0.351457,-0.927122,-0.919783,22.218878,0.155696,0.516265,0.196824,0.00196824,-0.00028,0.19649,0.0019649,-0.923439,,4257.735999
2622,44655.40488,655.522853,58351893,0.350906,-0.927008,-0.919651,22.2191,0.155954,0.518364,0.196922,0.00196922,-0.000186,0.196736,0.00196736,-0.923369,,4348.087184
2623,44655.40488,655.772853,58351893,0.359308,-0.92686,-0.919421,22.218878,0.156272,0.522459,0.197014,0.00197014,-0.00028,0.196782,0.00196782,-0.923303,,4299.194774
2624,44655.40488,656.022853,58351893,0.38669,-0.926583,-0.918698,22.2191,0.157113,0.544973,0.197485,0.00197485,-0.00028,0.197206,0.00197206,-0.922783,,4332.911899
2625,44655.40488,656.272853,58351893,0.37417,-0.926682,-0.918928,22.218952,0.156856,0.543127,0.197579,0.00197579,-0.000186,0.197299,0.00197299,-0.922832,,4361.608567
2626,44655.40489,656.522853,58351894,0.378209,-0.92654,-0.918764,22.2191,0.157143,0.550435,0.197783,0.00197783,-0.00028,0.197493,0.00197493,-0.922644,,4307.022648
2627,44655.40489,656.772853,58351894,0.374267,-0.926483,-0.918567,22.218952,0.157329,0.569445,0.1983,0.001983,-0.00028,0.198091,0.00198091,-0.922472,,4390.614454
2628,44655.40489,657.022853,58351894,0.394224,-0.926289,-0.918074,22.2191,0.157891,0.557216,0.198249,0.00198249,-0.000186,0.198028,0.00198028,-0.922373,,4481.908309
2629,44655.4049,657.272853,58351894,0.393912,-0.926298,-0.918402,22.218952,0.157968,0.55807,0.198349,0.00198349,-0.00028,0.198069,0.00198069,-0.922228,,4384.204586
2630,44655.4049,657.522853,58351895,0.389256,-0.926296,-0.918369,22.2191,0.157878,0.583259,0.19842,0.0019842,-0.00028,0.198082,0.00198082,-0.922334,,4258.152909
2631,44655.4049,657.772853,58351895,0.405443,-0.926001,-0.917778,22.218952,0.158725,0.594323,0.198999,0.00198999,-0.000373,0.198626,0.00198626,-0.921955,,4376.150207
2632,44655.40491,658.022853,58351895,0.398989,-0.926078,-0.918008,22.219173,0.158529,0.577691,0.198709,0.00198709,-0.000373,0.198456,0.00198456,-0.922085,,4390.737176
2633,44655.40491,658.272853,58351895,0.419819,-0.925874,-0.917482,22.218952,0.159125,0.603497,0.199198,0.00199198,-0.00028,0.198862,0.00198862,-0.921858,,4379.487927
